"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Antianginal efficacy of carvedilol, a new beta-blocker with vasodilating action.","Australia",1987,0,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"Monotherapy of stable angina with nicardipine hydrochloride: double-blind, placebo-controlled, randomized study.","North America",1989,1,0,0,1,0,"blinded","1980s",3.85014760171006,"pharmacological",1
"Antianginal and anti-ischemic efficacy of immediate-release nisoldipine in chronic stable angina pectoris.","North America",1994,1,0,0,1,1,"blinded","1990s",4.12713438504509,"pharmacological",1
"Angiogenic gene therapy in patients with nonrevascularizable ischemic heart disease: a phase 2 randomized, controlled trial of AdVEGF(121) (AdVEGF121) versus maximum medical treatment.","North America",2006,0,0,0,1,0,"unblinded","2000s",4.21950770517611,"pharmacological",1
"Double-blind randomized crossover trial of verapamil and propranolol in chronic stable angina.","Europe",1983,1,0,0,1,0,"blinded","1980s",3.13549421592915,"pharmacological",1
"A comparison of nifedipine once daily (Adalat LA), isosorbide mononitrate once daily, and isosorbide dinitrate twice daily in patients with chronic stable angina.","Europe",1996,0,0,0,1,0,"blinded","1990s",5.4380793089232,"pharmacological",1
"The efficacy and safety of ivabradine hydrochloride versus atenolol in Chinese patients with chronic stable angina pectoris.","Asia",2014,0,0,0,1,0,"blinded","2010-2026",5.81413053182507,"pharmacological",1
"Comparison of celiprolol and propranolol in stable angina pectoris. Celiprolol International Angina Study Group.","North America",1991,1,0,0,1,0,"blinded","1990s",4.94875989037817,"pharmacological",1
"N-acetylcysteine modifies the acute effects of isosorbide-5-mononitrate in angina pectoris patients evaluated by exercise testing.","Europe",1989,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Diltiazem, nifedipine, and their combination in patients with stable angina pectoris: effects on angina, exercise tolerance, and the ambulatory electrocardiographic ST segment.","North America",1988,1,0,0,1,1,"blinded","1980s",3.09104245335832,"pharmacological",1
"Antianginal effect of transdermal nitroglycerin and oral nitrates given for 24 hours a day in 2,456 patients with stable angina pectoris. The Italian Multicenter Study.","Europe",1995,1,0,1,0,0,NA,"1990s",7.80669637252118,"pharmacological",0
"Continuous oral N-acetylcysteine treatment and development of nitrate tolerance in patients with stable angina pectoris.","Europe",1991,0,0,0,1,0,"blinded","1990s",2.19722457733622,"pharmacological",1
"Betaxolol in the treatment of stable angina pectoris.","North America",1994,1,0,0,1,0,"blinded","1990s",4.75359019110636,"pharmacological",1
"Comparative clinical efficacy of bepridil, propranolol and placebo in patients with chronic stable angina.","Europe",1985,1,0,0,1,0,"blinded","1980s",3.58351893845611,"pharmacological",1
"A rest and exercise haemodynamic evaluation of a new cardio-selective beta-adrenoceptor blocker celiprolol alone and in combination with nitroglycerine in ischaemic heart disease.","Europe",1986,0,0,0,1,0,"unblinded","1980s",3.2188758248682,"pharmacological",1
"[TTS-nitroglycerin and slow-release metoprolol: efficacy in patients with stable exercise-induced angina].","Europe",1985,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Nadolol versus diltiazem and combination for preventing exercise-induced ischemia in severe angina pectoris.","North America",1988,0,0,0,1,0,"blinded","1980s",2.94443897916644,"pharmacological",1
"The effects of felodipine in angina pectoris.","Europe",1990,1,0,0,1,1,"blinded","1990s",3.04452243772342,"pharmacological",1
